sender,recipients,timestamp,thread_id,email_id_in_thread,num_recipients
340,34;344,2020-02-05 03:39:00+00:00,1187,2,2
79,0,2020-02-05 03:43:00+00:00,1181,1,1
79,0,2020-02-05 03:43:00+00:00,1187,1,1
0,1245,2020-02-05 03:48:11+00:00,1205,0,1
0,211,2020-02-05 03:49:07+00:00,1204,0,1
775,1227,2020-02-05 03:55:00+00:00,1186,3,1
0,33,2020-02-05 04:03:41+00:00,1203,0,1
0,33,2020-02-05 04:06:33+00:00,1202,0,1
0,34,2020-02-05 04:12:18+00:00,1201,0,1
0,34,2020-02-05 04:17:19+00:00,1200,0,1
0,4,2020-02-05 04:18:25+00:00,1199,0,1
817,1192,2020-02-05 04:43:00+00:00,1165,4,1
1193,877;881,2020-02-05 05:13:00+00:00,1167,6,2
0,877,2020-02-05 05:20:00+00:00,1167,4,1
0,47,2020-02-05 05:25:00+00:00,1174,1,1
0,877,2020-02-05 05:31:00+00:00,1167,2,1
136,0,2020-02-05 05:58:00+00:00,1198,1,1
877,0,2020-02-05 06:15:00+00:00,1167,5,1
47,0;136,2020-02-05 06:21:00+00:00,1174,2,2
877,0,2020-02-05 06:23:00+00:00,1167,3,1
877,0,2020-02-05 06:37:00+00:00,1167,1,1
1233,249;250;1207;1228;1230,2020-02-05 06:50:00+00:00,1190,2,5
250,0,2020-02-05 07:18:00+00:00,1191,1,1
1196,0,2020-02-05 07:20:00+00:00,1171,1,1
1199,0,2020-02-05 07:30:00+00:00,1173,1,1
4,1165,2020-02-05 07:35:00+00:00,1126,9,1
1197,1198,2020-02-05 07:50:00+00:00,1172,1,1
66,1165,2020-02-05 07:50:26+00:00,1126,8,1
1202,0,2020-02-05 08:21:00+00:00,1177,1,1
1194,0;292,2020-02-05 08:42:00+00:00,1168,1,2
249,0;80,2020-02-05 08:42:00+00:00,1190,1,2
1233,1236,2020-02-05 09:17:00+00:00,1190,4,1
1165,66,2020-02-05 09:25:00+00:00,1126,7,1
1236,1233,2020-02-05 09:35:00+00:00,1190,3,1
817,136,2020-02-05 10:55:00+00:00,1165,2,1
1195,0,2020-02-05 10:55:00+00:00,1169,1,1
0,136,2020-02-05 11:17:05+00:00,1198,0,1
0,1241,2020-02-05 11:34:46+00:00,1197,0,1
0,4,2020-02-05 11:52:11+00:00,1196,0,1
0,4,2020-02-05 11:52:41+00:00,1195,0,1
0,434,2020-02-05 13:41:40+00:00,1194,0,1
0,434,2020-02-05 13:56:13+00:00,1193,0,1
0,4,2020-02-05 14:36:13+00:00,1177,0,1
0,4,2020-02-05 15:33:15+00:00,1176,0,1
0,4,2020-02-05 20:52:29+00:00,1175,0,1
0,47;136,2020-02-06 00:00:36+00:00,1174,0,2
0,1199,2020-02-06 00:56:18+00:00,1173,0,1
1187,0,2020-02-06 01:34:00+00:00,1154,1,1
372,0,2020-02-06 02:02:00+00:00,1157,1,1
35,0,2020-02-06 02:22:00+00:00,1156,1,1
1218,243;263;774;1219;1220;1221;1222;1223,2020-02-06 02:25:00+00:00,1185,3,8
359,638;994;1210;1211;1212,2020-02-06 02:32:00+00:00,1184,4,5
0,4,2020-02-06 02:54:19+00:00,1172,0,1
0,33,2020-02-06 02:54:42+00:00,1171,0,1
0,250,2020-02-06 02:55:19+00:00,1191,0,1
175,79;81;101;292;417,2020-02-06 03:00:00+00:00,1185,2,5
1227,775,2020-02-06 03:00:00+00:00,1186,2,1
82,79;81;101;175;292;293;417;514,2020-02-06 03:11:00+00:00,1185,1,8
638,21;136;329;581,2020-02-06 03:22:00+00:00,1184,3,4
0,626,2020-02-06 03:28:54+00:00,1170,0,1
0,1195,2020-02-06 03:49:36+00:00,1169,0,1
0,80;249,2020-02-06 03:59:18+00:00,1190,0,2
0,292,2020-02-06 03:59:46+00:00,1168,0,1
0,877,2020-02-06 04:03:31+00:00,1167,0,1
0,33,2020-02-06 04:10:50+00:00,1166,0,1
1189,0,2020-02-06 04:11:00+00:00,1158,1,1
775,79,2020-02-06 04:12:00+00:00,1186,1,1
66,1165,2020-02-06 04:54:00+00:00,1126,6,1
136,0,2020-02-06 04:56:00+00:00,1165,1,1
136,0;21;329;581;638,2020-02-06 04:59:00+00:00,1184,2,5
66,1165;1167,2020-02-06 05:00:00+00:00,1126,4,2
1185,0,2020-02-06 05:38:00+00:00,1152,2,1
1185,0,2020-02-06 05:38:00+00:00,1159,1,1
1165,66;1167,2020-02-06 06:29:00+00:00,1126,5,2
877,0,2020-02-06 06:39:00+00:00,1160,1,1
877,0,2020-02-06 06:39:00+00:00,1161,1,1
66,1165;1167,2020-02-06 06:41:00+00:00,1126,2,2
0,1185,2020-02-06 07:04:53+00:00,1152,1,1
79,0,2020-02-06 07:29:00+00:00,1189,1,1
79,0;35;82,2020-02-06 07:31:00+00:00,1188,1,3
1165,66;1167,2020-02-06 08:06:00+00:00,1126,3,2
638,0;21;136;329;581,2020-02-06 08:08:00+00:00,1184,1,5
2,0,2020-02-06 08:37:00+00:00,1164,3,1
79,0,2020-02-06 09:16:00+00:00,1164,2,1
0,79,2020-02-06 09:34:00+00:00,1164,1,1
0,136,2020-02-06 10:58:13+00:00,1165,0,1
0,79,2020-02-06 14:24:54+00:00,1189,0,1
0,79,2020-02-06 14:34:57+00:00,1164,0,1
0,35;79;82,2020-02-06 14:54:16+00:00,1188,0,3
0,79,2020-02-06 15:21:22+00:00,1181,0,1
0,79,2020-02-06 15:21:22+00:00,1187,0,1
0,713,2020-02-06 16:28:04+00:00,1163,0,1
0,35,2020-02-06 20:09:43+00:00,1162,0,1
0,4,2020-02-06 23:56:07+00:00,1186,0,1
160,0,2020-02-07 02:02:00+00:00,1137,1,1
290,0,2020-02-07 02:50:00+00:00,1128,2,1
290,0,2020-02-07 02:50:00+00:00,1136,1,1
0,34;35;79,2020-02-07 03:00:35+00:00,1161,0,3
0,877,2020-02-07 03:01:07+00:00,1160,0,1
0,1185,2020-02-07 03:04:53+00:00,1159,0,1
0,4,2020-02-07 03:11:47+00:00,1158,0,1
0,82,2020-02-07 03:38:07+00:00,1185,0,1
